id;fase;tema;pergunta;alternativa_0;alternativa_1;alternativa_2;alternativa_3;resposta_correta;explicacao
1;1;Árvores;Qual parte da planta é responsável por produzir alimento através da fotossíntese?;Raiz;Folha;Tronco;Flor;1;As folhas contêm clorofila e realizam a fotossíntese, transformando luz em energia.
2;1;Árvores;Qual dessas árvores é conhecida por viver por milhares de anos?;Sequoia;Pinheiro;Eucalipto;Baobá;0;Sequoias são árvores que podem viver por mais de 2.000 anos, sendo muito antigas.
3;1;Árvores;O que os anéis de crescimento em uma árvore indicam principalmente?;Idade da árvore;Altura da árvore;Quantidade de frutos;Tipo de folha;0;Cada anel corresponde a um ano de crescimento, permitindo estimar a idade da árvore.
4;1;Árvores;Qual é a função do xilema nas plantas?;Produzir frutos;Transportar água e nutrientes;Realizar fotossíntese;Armazenar sementes;1;O xilema leva água e sais minerais das raízes até as folhas e outras partes da planta.
5;1;Árvores;Qual árvore brasileira teve grande importância histórica por sua madeira?;Ipê;Pau-brasil;Castanheira;Jatobá;1;O pau-brasil foi explorado intensamente no período colonial, sendo histórico para o país.
6;1;Árvores;Qual parte da planta geralmente fica responsável por fixar a planta no solo?;Folha;Raiz;Tronco;Flor;1;A raiz fixa a planta no solo e absorve água e nutrientes.
7;1;Árvores;O caule de uma planta serve principalmente para?;Produzir flores;Transportar seiva;Absorver luz solar;Produzir frutos;1;O caule transporta seiva bruta e elaborada entre raízes e folhas.
8;1;Árvores;Qual fruto é conhecido por ser o mais consumido no mundo?;Banana;Maçã;Tomate;Laranja;2;O tomate é considerado o fruto mais consumido globalmente, embora muitos pensem ser hortaliça.
9;1;Árvores;Qual dessas árvores é símbolo da paz?;Cedro;Oliveira;Figueira;Carvalho;1;A oliveira é tradicionalmente símbolo de paz e esperança.
10;1;Árvores;As plantas carnívoras se alimentam principalmente de quê?;Pequenos mamíferos;Insetos;Peixes;Aves;1;A maioria das plantas carnívoras captura insetos para obter nutrientes extras.
11;1;Árvores;O que é polinização?;A produção de frutos;A transferência de pólen;A respiração das plantas;A germinação de sementes;1;A polinização é a transferência de pólen entre flores, possibilitando a reprodução.
12;1;Árvores;Qual planta é usada para produzir papel em larga escala?;Pinus;Eucalipto;Ipê;Mangueira;1;O eucalipto é uma das principais fontes de celulose para a produção de papel.
13;1;Árvores;Qual planta é considerada sagrada em várias culturas e conhecida como “Árvore da Vida”?;Carvalho;Baobá;Oliveira;Figueira;1;O baobá é chamado de “Árvore da Vida” por fornecer sombra, água e alimento em regiões áridas.
