id;fase;tema;pergunta;alternativa_0;alternativa_1;alternativa_2;alternativa_3;resposta_correta;explicacao
1;1;Internet;Qual é a principal diferença entre a Internet e a World Wide Web?;A Internet é a rede, e a Web é um serviço dentro dela;A Internet é apenas um serviço;A Web é a rede inteira;São exatamente a mesma coisa;0;A Internet é a infraestrutura global de redes, enquanto a Web é um serviço que funciona sobre ela.
2;1;Internet;Qual protocolo garante que os dados cheguem corretamente a um computador na rede?;TCP;IP;HTTP;FTP;0;O TCP garante a entrega confiável de pacotes de dados, mesmo que sejam enviados em partes.
3;1;Internet;O que significa URL?;Uniform Resource Locator;Universal Resource Link;Unique Resource Location;Unified Resource Line;0;URL identifica endereços de sites na Web de forma padronizada.
4;1;Internet;Por que o HTTPS é mais seguro que o HTTP?;Porque utiliza criptografia para proteger a comunicação;Porque autentica a identidade do servidor;Porque impede modificações nas páginas durante a transmissão;Porque reduz o risco de ataques de interceptação;0;O HTTPS combina HTTP com SSL/TLS, adicionando criptografia para proteger os dados transmitidos.
5;1;Internet;O que significa Wi-Fi?;Wireless Fidelity;Wide Fiber;World File;Wireless Function;0;Wi-Fi permite conexão sem fio de dispositivos à Internet.
6;1;Internet;Qual tecnologia permite que um computador obtenha automaticamente um endereço IP?;DHCP;DNS;SMTP;FTP;0;O DHCP atribui endereços IP automaticamente, simplificando a conexão em redes.
7;1;Internet;Qual é a função do DNS?;Traduzir nomes de sites em endereços IP;Enviar arquivos grandes;Gerar senhas;Proteger contra vírus;0;O DNS converte nomes de sites em endereços que os computadores conseguem entender.
8;1;Internet;O que é phishing?;Tentativa de fraude online;Criptografia de dados;Atualização automática;Protocolo de rede;0;Phishing é uma técnica que engana usuários para roubar dados pessoais.
9;1;Internet;Qual é a função de um firewall?;Bloquear acessos não autorizados;Aumentar a velocidade da Internet;Gerar senhas automaticamente;Traduzir endereços IP;0;O firewall protege redes e computadores contra tráfego indesejado.
10;1;Internet;Qual serviço permite hospedar sites na Internet?;Web hosting;FTP;DNS;VPN;0;Web hosting oferece espaço em servidores para publicar sites.
11;1;Internet;O que significa VPN?;Virtual Private Network;Verified Personal Network;Virtual Public Network;Virtual Protected Node;0;VPN cria uma conexão segura entre dispositivos na Internet.
12;1;Internet;Qual protocolo é usado para enviar e-mails?;SMTP;IMAP;POP3;HTTP;0;SMTP é o protocolo padrão para envio de mensagens de e-mail.
13;1;Internet;Qual protocolo permite acessar e-mails armazenados em servidores?;IMAP;SMTP;FTP;DNS;0;IMAP permite gerenciar e-mails diretamente no servidor, sem precisar baixar.
14;1;Internet;Qual recurso permite que sites carreguem mais rápido armazenando dados temporários?;Cache;Firewall;Proxy;VPN;0;O cache mantém dados temporários localmente para acelerar o carregamento.
15;1;Internet;O que significa HTTPS?;HTTP seguro com criptografia;HTTP rápido;Protocolo de servidor;HTTP offline;0;HTTPS usa criptografia para proteger a comunicação entre navegador e site.
16;1;Internet;Qual tecnologia sem fio é mais indicada para conectar dispositivos pessoais, como fones de ouvido, teclados e mouses, a curtas distâncias?;Bluetooth;Wi-Fi;NFC;Infrared;0;O Bluetooth é ideal para conectar dispositivos pessoais sem fio a curta distância, enquanto Wi-Fi é voltado para redes maiores e NFC/Infrared têm alcance ainda menor ou aplicações mais específicas.
17;1;Internet;Qual navegador foi criado pelo Google?;Chrome;Firefox;Edge;Safari;0;O Google lançou o navegador Chrome em 2008.
18;1;Internet;Qual é a função de um proxy?;Armazenar conteúdo temporário;Bloquear vírus;Gerar endereços IP;Gerenciar hardware;0;Um proxy armazena conteúdo em cache, acelerando o acesso a sites visitados.
19;1;Internet;O que é um endereço IP?;Identificador de dispositivo na rede;Senha de acesso;Protocolo de e-mail;Site na Web;0;O IP identifica cada dispositivo conectado a uma rede.
20;1;Internet;O que é um navegador web?;Programa que exibe páginas da Internet;Software antivírus;Hardware de conexão;Servidor de e-mail;0;O navegador interpreta códigos de páginas e exibe o conteúdo para o usuário.
21;2;Computador;Qual componente é considerado o “cérebro” do computador?;CPU;GPU;RAM;SSD;0;A CPU executa instruções e coordena as operações do computador.
22;2;Computador;O que faz a GPU?;Renderiza gráficos e imagens;Armazena dados;Processa cálculos matemáticos;Controla energia;0;A GPU processa gráficos em jogos e programas visuais.
23;2;Computador;Qual é a função principal da RAM?;Armazenar dados temporários;Processar gráficos;Executar cálculos;Armazenar dados permanentes de forma aleatória;0;A RAM guarda temporariamente dados em uso pelo computador.
24;2;Computador;O que faz o SSD?;Armazena dados rapidamente;Renderiza imagens;Executa cálculos;Controla energia;0;O SSD é usado para armazenamento rápido de dados.
